"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2025","1.0004","1.0006","1.0016","1.0004","262.94M","-0.02%"
"03/08/2025","1.0006","0.9999","1.0006","0.9998","271.90M","0.08%"
"03/07/2025","0.9998","1.0001","1.0003","0.9997","797.60M","-0.02%"
"03/06/2025","1.0001","1.0002","1.0003","0.9999","577.93M","-0.02%"
"03/05/2025","1.0002","1.0002","1.0004","1.0000","575.18M","0.01%"
"03/04/2025","1.0002","0.9997","1.0004","0.9996","677.62M","0.04%"
"03/03/2025","0.9997","1.0006","1.0006","0.9994","737.06M","-0.07%"
"03/02/2025","1.0005","1.0004","1.0011","1.0002","620.15M","0.01%"
"03/01/2025","1.0004","1.0006","1.0007","1.0002","399.92M","-0.01%"
"02/28/2025","1.0005","1.0002","1.0007","0.9999","865.51M","0.04%"
"02/27/2025","1.0000","0.9995","1.0003","0.9994","781.14M","0.06%"
"02/26/2025","0.9995","0.9997","1.0001","0.9994","885.34M","-0.02%"
"02/25/2025","0.9997","1.0005","1.0013","0.9995","1.15B","-0.08%"
"02/24/2025","1.0005","1.0000","1.0007","0.9999","681.19M","0.05%"
"02/23/2025","1.0000","1.0001","1.0002","0.9999","690.30M","-0.01%"
"02/22/2025","1.0001","0.9995","1.0002","0.9995","751.70M","0.06%"
"02/21/2025","0.9995","1.0002","1.0003","0.9991","843.18M","-0.07%"
"02/20/2025","1.0002","1.0001","1.0005","0.9996","759.69M","0.01%"
"02/19/2025","1.0001","0.9998","1.0003","0.9998","544.58M","0.04%"
"02/18/2025","0.9998","1.0001","1.0003","0.9997","763.40M","-0.03%"
"02/17/2025","1.0001","1.0001","1.0002","1.0000","336.49M","0.01%"
"02/16/2025","1.0001","1.0002","1.0002","0.9999","257.54M","-0.01%"
"02/15/2025","1.0002","1.0001","1.0002","1.0000","289.72M","0.01%"
"02/14/2025","1.0001","1.0003","1.0004","1.0000","613.85M","-0.02%"
"02/13/2025","1.0003","1.0001","1.0003","0.9999","403.31M","0.01%"
"02/12/2025","1.0001","1.0000","1.0003","0.9998","754.41M","0.01%"
"02/11/2025","1.0000","1.0002","1.0003","0.9999","638.96M","-0.02%"
"02/10/2025","1.0002","1.0003","1.0004","1.0001","672.63M","0.00%"
"02/09/2025","1.0003","1.0002","1.0004","1.0001","357.42M","0.01%"
"02/08/2025","1.0002","1.0002","1.0003","0.9998","548.26M","0.00%"
"02/07/2025","1.0002","1.0002","1.0007","1.0000","995.76M","0.00%"
"02/06/2025","1.0002","1.0000","1.0006","1.0000","777.26M","0.01%"
"02/05/2025","1.0000","1.0002","1.0004","1.0000","833.36M","-0.02%"
"02/04/2025","1.0002","1.0009","1.0011","1.0001","1.25B","-0.07%"
"02/03/2025","1.0009","0.9996","1.0019","0.9994","2.32B","0.13%"
"02/02/2025","0.9996","0.9998","1.0000","0.9991","1.07B","-0.01%"
"02/01/2025","0.9998","0.9997","1.0000","0.9995","520.20M","0.00%"
"01/31/2025","0.9997","1.0001","1.0002","0.9995","769.78M","-0.03%"
"01/30/2025","1.0001","1.0000","1.0003","0.9998","479.48M","0.01%"
"01/29/2025","1.0000","0.9995","1.0001","0.9995","652.18M","0.04%"
"01/28/2025","0.9995","1.0000","1.0002","0.9993","598.28M","-0.05%"
"01/27/2025","1.0000","0.9996","1.0002","0.9993","951.89M","0.04%"
"01/26/2025","0.9996","0.9998","1.0000","0.9996","395.15M","-0.02%"
"01/25/2025","0.9998","0.9999","1.0000","0.9997","300.31M","-0.01%"
"01/24/2025","0.9999","1.0002","1.0004","0.9997","796.73M","-0.02%"
"01/23/2025","1.0001","0.9995","1.0006","0.9992","1.20B","0.06%"
"01/22/2025","0.9995","1.0001","1.0001","0.9995","752.73M","-0.05%"
"01/21/2025","1.0001","0.9989","1.0003","0.9985","1.12B","0.11%"
"01/20/2025","0.9989","0.9987","0.9993","0.9981","1.30B","0.03%"
"01/19/2025","0.9987","0.9990","0.9992","0.9981","1.66B","-0.03%"
"01/18/2025","0.9990","1.0003","1.0004","0.9988","685.96M","-0.13%"
"01/17/2025","1.0003","0.9999","1.0007","0.9996","901.74M","0.04%"
"01/16/2025","0.9999","1.0001","1.0001","0.9996","645.92M","-0.02%"
"01/15/2025","1.0001","0.9997","1.0004","0.9994","896.88M","0.03%"
"01/14/2025","0.9997","0.9998","1.0000","0.9994","586.57M","0.00%"
"01/13/2025","0.0000","0.0000","0.0000","0.0000","","-100.00%"
"01/11/2025","0.9996","0.9998","0.9999","0.9995","322.91M","-0.03%"
"01/10/2025","0.9998","1.0001","1.0001","0.9997","686.68M","-0.02%"
"01/09/2025","1.0000","0.9998","1.0001","0.9994","832.86M","0.02%"
"01/08/2025","0.9998","0.9998","1.0000","0.9995","899.58M","0.00%"
"01/07/2025","0.9998","1.0004","1.0005","0.9992","987.60M","-0.06%"
"01/06/2025","1.0004","0.9998","1.0007","0.9995","620.91M","0.07%"
"01/05/2025","0.9998","0.9999","1.0000","0.9997","172.90M","-0.02%"
"01/04/2025","0.9999","0.9996","1.0000","0.9995","232.33M","0.04%"
"01/03/2025","0.9996","0.9992","0.9998","0.9991","685.62M","0.04%"
"01/02/2025","0.9992","0.9983","0.9994","0.9983","581.71M","0.08%"
"01/01/2025","0.9983","0.9984","0.9986","0.9980","419.75M","-0.01%"
"12/31/2024","0.9984","0.9984","0.9992","0.9984","791.50M","0.00%"
"12/30/2024","0.9984","0.9985","0.9993","0.9976","1.26B","0.00%"
"12/29/2024","0.9985","0.9984","0.9990","0.9982","416.73M","0.01%"
"12/28/2024","0.9984","0.9986","0.9987","0.9983","259.56M","-0.03%"
"12/27/2024","0.9986","0.9990","0.9991","0.9981","838.88M","-0.03%"
"12/26/2024","0.9990","0.9992","0.9994","0.9989","722.27M","-0.02%"
"12/25/2024","0.9992","0.9993","0.9994","0.9989","280.13M","-0.02%"
"12/24/2024","0.9993","0.9988","0.9995","0.9984","1.03B","0.06%"
"12/23/2024","0.9988","0.9991","0.9993","0.9985","975.87M","-0.03%"
"12/22/2024","0.9991","0.9995","0.9996","0.9989","650.59M","-0.03%"
"12/21/2024","0.9995","0.9996","0.9998","0.9994","679.70M","-0.02%"
"12/20/2024","0.9996","0.9992","0.9999","0.9985","1.60B","0.04%"
"12/19/2024","0.9992","0.9995","0.9997","0.9980","1.60B","-0.03%"
"12/18/2024","0.9995","1.0000","1.0001","0.9989","1.55B","-0.04%"
"12/17/2024","1.0000","1.0001","1.0002","0.9996","1.34B","-0.01%"
"12/16/2024","1.0001","0.9996","1.0003","0.9992","1.18B","0.04%"
"12/15/2024","0.9997","0.9997","1.0000","0.9994","382.24M","-0.01%"
"12/14/2024","0.9997","1.0001","1.0001","0.9997","372.06M","-0.04%"
"12/13/2024","1.0001","1.0001","1.0003","0.9998","1.10B","0.00%"
"12/12/2024","1.0001","1.0006","1.0007","1.0000","887.55M","-0.05%"
"12/11/2024","1.0006","1.0006","1.0011","1.0001","2.14B","0.01%"
"12/10/2024","1.0006","1.0005","1.0007","1.0000","1.15B","0.01%"
"12/09/2024","1.0005","1.0006","1.0009","0.9993","1.39B","-0.02%"
"12/08/2024","1.0006","1.0008","1.0008","1.0003","592.27M","-0.02%"
"12/07/2024","1.0008","1.0014","1.0014","1.0007","621.47M","-0.06%"
"12/06/2024","1.0014","1.0009","1.0018","1.0001","1.25B","0.05%"
"12/05/2024","1.0009","1.0014","1.0021","1.0003","1.68B","-0.05%"
"12/04/2024","1.0014","1.0008","1.0024","1.0004","1.15B","0.07%"
"12/03/2024","1.0008","1.0004","1.0009","0.9997","715.96M","0.04%"
"12/02/2024","1.0004","1.0007","1.0008","1.0001","992.19M","-0.03%"
"12/01/2024","1.0007","1.0006","1.0009","1.0003","318.16M","0.00%"
"11/30/2024","1.0006","1.0004","1.0007","1.0003","382.20M","0.02%"
"11/29/2024","1.0004","1.0002","1.0013","1.0001","669.68M","0.03%"
"11/28/2024","1.0002","1.0009","1.0011","1.0001","743.91M","-0.08%"
"11/27/2024","1.0009","0.9997","1.0015","0.9996","964.56M","0.12%"
"11/26/2024","0.9997","1.0001","1.0007","0.9994","682.52M","-0.02%"
"11/25/2024","1.0000","1.0008","1.0010","0.9997","1.03B","-0.08%"
"11/24/2024","1.0008","1.0005","1.0011","1.0001","644.18M","0.02%"
"11/23/2024","1.0005","1.0007","1.0020","1.0003","1.11B","-0.03%"
"11/22/2024","1.0008","1.0009","1.0011","1.0003","2.07B","0.00%"
"11/21/2024","1.0009","1.0007","1.0009","0.9998","1.19B","0.01%"
"11/20/2024","1.0007","1.0012","1.0014","1.0004","1.40B","-0.04%"
"11/19/2024","1.0012","1.0006","1.0014","1.0004","947.24M","0.06%"
"11/18/2024","1.0006","1.0001","1.0011","0.9998","658.84M","0.05%"
"11/17/2024","1.0001","1.0003","1.0004","0.9998","593.35M","-0.03%"
"11/16/2024","1.0004","1.0003","1.0005","1.0001","413.11M","0.00%"
"11/15/2024","1.0003","1.0000","1.0005","0.9997","698.21M","0.03%"
"11/14/2024","1.0000","1.0012","1.0012","0.9998","1.39B","-0.11%"
"11/13/2024","1.0012","1.0009","1.0024","1.0008","1.78B","0.03%"
"11/12/2024","1.0009","1.0011","1.0018","1.0002","1.63B","-0.02%"
"11/11/2024","1.0011","1.0006","1.0021","1.0005","1.22B","0.05%"
"11/10/2024","1.0006","1.0004","1.0009","1.0002","746.58M","0.02%"
"11/09/2024","1.0004","1.0006","1.0006","1.0002","493.61M","-0.02%"
"11/08/2024","1.0006","1.0007","1.0013","1.0004","1.70B","-0.01%"
"11/07/2024","1.0007","1.0008","1.0014","1.0002","1.34B","-0.01%"
"11/06/2024","1.0008","1.0000","1.0014","0.9998","1.32B","0.07%"
"11/05/2024","1.0000","0.9995","1.0001","0.9993","390.57M","0.06%"
"11/04/2024","0.9995","0.9997","0.9998","0.9991","577.30M","-0.03%"
