"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2025","683.75","709.87","714.56","676.57","747.51K","-3.68%"
"01/18/2025","709.88","721.48","723.04","695.24","385.07K","-1.61%"
"01/17/2025","721.48","708.17","729.77","708.17","298.40K","1.89%"
"01/16/2025","708.08","714.60","717.35","700.68","278.86K","-0.91%"
"01/15/2025","714.60","698.89","714.71","688.86","293.56K","2.25%"
"01/14/2025","698.89","688.58","699.96","686.31","166.11K","1.50%"
"01/13/2025","688.58","693.35","699.99","660.08","405.15K","-0.69%"
"01/12/2025","693.35","696.70","698.48","690.01","81.82K","-0.48%"
"01/11/2025","696.71","693.21","701.40","690.52","91.74K","0.50%"
"01/10/2025","693.21","685.31","700.58","683.31","245.19K","1.15%"
"01/09/2025","685.31","696.04","701.67","675.46","342.79K","-1.54%"
"01/08/2025","696.04","697.98","707.23","675.41","452.79K","-0.28%"
"01/07/2025","697.98","729.50","733.25","691.23","459.86K","-4.32%"
"01/06/2025","729.50","709.11","745.10","706.02","369.80K","2.87%"
"01/05/2025","709.11","713.42","713.91","702.91","120.72K","-0.62%"
"01/04/2025","713.50","714.59","721.71","708.48","174.94K","-0.15%"
"01/03/2025","714.59","706.26","715.67","697.58","300.21K","1.18%"
"01/02/2025","706.26","708.02","715.63","698.50","303.05K","-0.25%"
"01/01/2025","708.02","702.39","710.87","700.32","143.02K","0.80%"
"12/31/2024","702.39","705.36","714.75","698.62","244.32K","-0.42%"
"12/30/2024","705.36","694.71","712.17","687.96","312.01K","1.53%"
"12/29/2024","694.71","722.28","724.12","690.57","252.03K","-3.82%"
"12/28/2024","722.28","691.84","731.04","691.58","358.39K","4.41%"
"12/27/2024","691.79","689.55","710.85","685.88","360.78K","0.32%"
"12/26/2024","689.55","702.64","719.49","683.06","399.28K","-1.86%"
"12/25/2024","702.64","696.76","713.13","695.99","246.44K","0.84%"
"12/24/2024","696.76","694.04","698.90","682.89","404.02K","0.39%"
"12/23/2024","694.04","649.89","698.19","638.30","629.32K","6.79%"
"12/22/2024","649.89","663.12","669.59","639.79","346.83K","-1.99%"
"12/21/2024","663.12","678.67","692.94","652.54","549.77K","-2.29%"
"12/20/2024","678.67","665.42","679.90","619.23","1.06M","1.99%"
"12/19/2024","665.43","687.39","704.85","650.03","899.95K","-3.19%"
"12/18/2024","687.39","717.52","721.99","683.67","773.93K","-4.20%"
"12/17/2024","717.52","720.45","736.53","712.82","531.75K","-0.41%"
"12/16/2024","720.45","718.61","729.99","704.37","515.07K","0.26%"
"12/15/2024","718.61","715.89","723.94","702.95","297.32K","0.38%"
"12/14/2024","715.89","725.74","731.91","705.32","359.82K","-1.37%"
"12/13/2024","725.86","705.71","729.76","697.71","574.09K","2.85%"
"12/12/2024","705.71","711.41","725.56","699.38","609.49K","-0.80%"
"12/11/2024","711.41","676.92","712.46","658.72","556.73K","5.10%"
"12/10/2024","676.92","689.21","704.59","650.00","1.07M","-1.90%"
"12/09/2024","690.02","741.84","742.14","651.30","1.12M","-6.99%"
"12/08/2024","741.84","749.46","757.14","728.07","355.44K","-1.02%"
"12/07/2024","749.46","730.44","760.48","729.86","463.19K","2.60%"
"12/06/2024","730.44","717.32","745.52","705.63","781.27K","1.83%"
"12/05/2024","717.32","739.23","739.23","693.03","1.24M","-2.96%"
"12/04/2024","739.23","735.07","793.20","721.53","2.21M","0.57%"
"12/03/2024","735.07","647.77","746.05","624.66","1.63M","13.48%"
"12/02/2024","647.77","656.03","666.93","629.08","802.12K","-1.26%"
"12/01/2024","656.03","653.72","664.10","645.75","446.33K","0.35%"
"11/30/2024","653.72","654.69","676.80","648.44","565.60K","-0.15%"
"11/29/2024","654.69","654.01","663.61","648.73","442.57K","0.11%"
"11/28/2024","654.00","644.25","662.84","640.72","708.17K","1.49%"
"11/27/2024","644.43","613.70","646.41","608.36","650.79K","5.01%"
"11/26/2024","613.70","635.81","645.39","600.68","845.08K","-3.48%"
"11/25/2024","635.81","659.80","674.66","627.39","820.89K","-3.64%"
"11/24/2024","659.80","650.79","687.26","637.54","949.96K","1.38%"
"11/23/2024","650.79","633.00","678.88","631.32","1.12M","2.81%"
"11/22/2024","633.00","622.02","639.21","615.32","600.57K","1.76%"
"11/21/2024","622.02","605.39","629.31","593.40","666.06K","2.68%"
"11/20/2024","605.79","615.26","620.43","600.01","424.09K","-1.54%"
"11/19/2024","615.26","618.90","621.30","605.23","435.27K","-0.59%"
"11/18/2024","618.90","618.74","629.83","612.21","500.65K","0.03%"
"11/17/2024","618.74","622.46","646.91","605.56","615.18K","-0.60%"
"11/16/2024","622.46","619.11","633.53","617.57","462.16K","0.54%"
"11/15/2024","619.11","621.85","628.29","603.72","678.16K","-0.44%"
"11/14/2024","621.85","620.65","659.80","611.48","1.13M","0.19%"
"11/13/2024","620.65","625.31","638.04","599.44","1.08M","-0.71%"
"11/12/2024","625.08","660.15","666.66","612.86","1.26M","-5.31%"
"11/11/2024","660.15","627.46","664.60","613.04","1.06M","5.21%"
"11/10/2024","627.46","624.66","644.06","612.68","854.12K","0.48%"
"11/09/2024","624.48","597.81","637.97","597.51","794.09K","4.46%"
"11/08/2024","597.81","598.22","605.70","588.15","330.61K","-0.07%"
"11/07/2024","598.20","591.99","611.04","587.49","397.45K","1.05%"
"11/06/2024","591.99","563.23","594.76","563.19","568.65K","5.11%"
"11/05/2024","563.23","552.51","572.14","551.41","217.86K","1.94%"
"11/04/2024","552.51","557.70","564.59","543.87","271.27K","-0.93%"
"11/03/2024","557.70","568.59","569.30","547.30","223.61K","-1.88%"
"11/02/2024","568.40","573.09","576.78","562.40","148.72K","-0.82%"
"11/01/2024","573.09","576.50","585.40","568.00","252.22K","-0.61%"
"10/31/2024","576.60","595.50","596.39","571.39","288.20K","-3.17%"
"10/30/2024","595.50","606.30","606.59","594.31","193.18K","-1.78%"
"10/29/2024","606.30","600.99","612.09","600.00","311.62K","0.88%"
"10/28/2024","600.99","589.20","604.20","585.59","196.20K","1.98%"
"10/27/2024","589.30","583.30","591.00","581.80","98.11K","0.99%"
"10/26/2024","583.49","575.29","587.00","571.99","124.96K","1.43%"
"10/25/2024","575.29","594.41","597.39","566.84","267.45K","-3.22%"
"10/24/2024","594.41","584.89","597.91","583.50","155.61K","1.62%"
"10/23/2024","584.91","593.70","594.29","573.20","241.46K","-1.50%"
"10/22/2024","593.79","598.69","600.09","587.11","216.77K","-0.82%"
"10/21/2024","598.69","605.81","611.40","591.89","294.15K","-1.18%"
"10/20/2024","605.81","597.71","607.19","593.50","129.11K","1.36%"
"10/19/2024","597.71","599.19","601.31","595.61","83.90K","-0.25%"
"10/18/2024","599.19","592.89","602.39","591.90","147.44K","1.06%"
"10/17/2024","592.89","600.98","606.01","585.50","203.85K","-1.35%"
"10/16/2024","600.98","594.67","605.39","589.89","276.61K","1.06%"
"10/15/2024","594.67","589.10","599.60","578.44","361.59K","0.95%"
"10/14/2024","589.10","572.30","592.19","569.80","263.99K","2.94%"
"10/13/2024","572.30","576.59","578.39","565.01","124.95K","-0.74%"
"10/12/2024","576.59","573.30","578.99","573.30","145.01K","0.58%"
"10/11/2024","573.30","563.58","577.21","560.29","193.67K","1.72%"
"10/10/2024","563.58","570.79","572.82","554.52","192.53K","-1.26%"
"10/09/2024","570.79","580.78","585.68","566.85","351.05K","-1.72%"
"10/08/2024","580.78","564.30","586.58","560.05","303.51K","2.92%"
"10/07/2024","564.30","570.49","581.66","564.01","226.12K","-1.09%"
"10/06/2024","570.49","563.38","571.69","561.39","111.11K","1.26%"
"10/05/2024","563.39","555.30","564.88","552.09","129.23K","1.46%"
"10/04/2024","555.30","544.79","557.60","542.01","191.84K","1.93%"
"10/03/2024","544.79","542.32","550.79","534.70","233.37K","0.46%"
"10/02/2024","542.32","547.49","558.09","535.61","301.18K","-0.95%"
"10/01/2024","547.49","567.50","582.99","537.46","504.96K","-3.53%"
"09/30/2024","567.51","595.62","595.72","563.92","335.52K","-4.72%"
"09/29/2024","595.62","601.12","602.61","592.51","168.85K","-0.91%"
"09/28/2024","601.12","606.90","617.86","595.21","277.11K","-0.95%"
"09/27/2024","606.90","596.40","614.22","596.10","371.70K","1.76%"
"09/26/2024","596.40","587.53","608.68","581.03","350.53K","1.51%"
"09/25/2024","587.53","605.91","608.00","584.43","233.05K","-3.03%"
"09/24/2024","605.91","604.70","613.30","599.23","273.45K","0.20%"
"09/23/2024","604.70","588.61","615.70","584.02","395.30K","2.74%"
"09/22/2024","588.57","588.51","593.88","576.68","215.12K","0.01%"
"09/21/2024","588.51","569.09","590.00","566.62","220.78K","3.43%"
"09/20/2024","569.00","566.43","576.99","559.12","273.17K","0.45%"
"09/19/2024","566.43","559.50","571.88","553.03","329.79K","1.26%"
"09/18/2024","559.37","546.10","559.37","536.90","218.14K","2.43%"
"09/17/2024","546.10","533.67","552.34","528.97","212.39K","2.33%"
"09/16/2024","533.67","553.49","555.10","527.27","290.78K","-3.58%"
"09/15/2024","553.49","553.40","561.80","552.10","214.01K","0.02%"
"09/14/2024","553.40","556.40","559.09","547.52","144.60K","-0.54%"
"09/13/2024","556.40","544.60","559.29","538.90","290.67K","2.17%"
"09/12/2024","544.60","530.20","548.43","530.11","294.59K","2.72%"
"09/11/2024","530.20","516.80","534.84","506.78","219.23K","2.59%"
"09/10/2024","516.80","518.70","523.97","513.40","173.18K","-0.36%"
"09/09/2024","518.67","502.90","525.48","501.90","217.15K","3.14%"
"09/08/2024","502.90","493.49","506.68","490.81","141.99K","1.91%"
"09/07/2024","493.49","487.08","499.28","483.21","150.45K","1.32%"
"09/06/2024","487.08","502.40","509.48","472.09","387.75K","-3.05%"
"09/05/2024","502.40","507.52","512.80","496.80","185.80K","-1.01%"
"09/04/2024","507.52","518.39","523.50","496.00","458.35K","-2.10%"
"09/03/2024","518.39","526.39","538.30","518.29","233.58K","-1.52%"
"09/02/2024","526.39","512.69","529.50","501.80","277.10K","2.67%"
"09/01/2024","512.69","532.90","533.09","508.11","216.20K","-3.79%"
"08/31/2024","532.90","535.19","541.39","531.19","103.53K","-0.43%"
"08/30/2024","535.21","536.51","543.19","522.65","210.69K","-0.24%"
"08/29/2024","536.51","536.61","545.38","531.79","177.62K","-0.02%"
